t,dF,F,P,Q,UA,UA_phase,IA,IA_phase,xdp,xq,f0
0.01,0.006,50.006,559.629,-4.81026,11457,3.1038,16250.9,3.1103,0.3187,2.32,50
0.02,0.02,50.02,559.206,-5.0217,11516.6,3.0977,16235.6,3.1109,0.3187,2.32,50
0.03,-0.006,49.994,558.783,-5.12742,11468.8,3.0965,16220.3,3.1115,0.3187,2.32,50
0.04,-0.006,49.994,558.36,-5.33886,11436.6,3.1041,16205.1,3.112,0.3187,2.32,50
0.05,0.018,50.018,557.99,-5.60316,11500.3,3.1013,16197.5,3.1126,0.3187,2.32,50
0.06,0,50,557.514,-6.0789,11489.6,3.0959,16182.2,3.1137,0.3187,2.32,50
0.07,-0.014,49.986,556.827,-6.55464,11430,3.1024,16166.9,3.1148,0.3187,2.32,50
0.08,0.012,50.012,556.299,-6.71322,11477.3,3.104,16151.7,3.1153,0.3187,2.32,50
0.09,0.012,50.012,555.876,-6.92466,11508.1,3.0969,16136.4,3.1158,0.3187,2.32,50
0.1,-0.012,49.988,555.559,-6.97752,11441.8,3.1,16136.4,3.116,0.3187,2.32,50
0.11,0.006,50.006,555.4,-6.92466,11451.1,3.1058,16136.4,3.116,0.3187,2.32,50
0.12,0.02,50.02,555.4,-6.81894,11508.8,3.0998,16128.8,3.1161,0.3187,2.32,50
0.13,-0.004,49.996,555.506,-6.81894,11461.8,3.0986,16128.8,3.1164,0.3187,2.32,50
0.14,-0.004,49.996,555.77,-6.76608,11432.6,3.1063,16136.4,3.1167,0.3187,2.32,50
0.15,0.022,50.022,556.14,-6.55464,11496.6,3.1036,16151.7,3.1166,0.3187,2.32,50
0.16,0.004,50.004,556.51,-6.3432,11485.9,3.0985,16159.3,3.1166,0.3187,2.32,50
0.17,-0.01,49.99,556.933,-6.13176,11427.4,3.1052,16166.9,3.1165,0.3187,2.32,50
0.18,0.018,50.018,557.462,-5.76174,11475.5,3.1071,16189.8,3.1163,0.3187,2.32,50
0.19,0.018,50.018,558.096,-5.49744,11508.1,3.1003,16197.5,3.1164,0.3187,2.32,50
0.2,-0.006,49.994,558.73,-5.23314,11445.1,3.1039,16212.7,3.1166,0.3187,2.32,50
0.21,0.01,50.01,559.365,-4.91598,11457.7,3.11,16228,3.1166,0.3187,2.32,50
0.22,0.024,50.024,559.893,-4.44024,11516.6,3.1042,16250.9,3.1162,0.3187,2.32,50
0.23,-0.002,49.998,560.263,-4.17594,11470.3,3.1032,16258.5,3.1162,0.3187,2.32,50
0.24,-0.002,49.998,560.527,-4.07022,11439.6,3.111,16273.7,3.1164,0.3187,2.32,50
0.25,0.022,50.022,560.897,-4.01736,11504.7,3.1084,16281.4,3.1166,0.3187,2.32,50
0.26,0.006,50.006,561.162,-4.12308,11495.1,3.1034,16281.4,3.1174,0.3187,2.32,50
0.27,-0.01,49.99,561.32,-4.12308,11437,3.1102,16289,3.1179,0.3187,2.32,50
0.28,0.016,50.016,561.426,-4.07022,11481.8,3.112,16296.6,3.1179,0.3187,2.32,50
0.29,0.014,50.014,561.373,-4.12308,11509.5,3.105,16296.6,3.1184,0.3187,2.32,50
0.3,-0.01,49.99,561.056,-4.44024,11444.8,3.1084,16289,3.1196,0.3187,2.32,50
0.31,0.006,50.006,560.633,-4.7574,11454.4,3.1143,16281.4,3.1204,0.3187,2.32,50
0.32,0.02,50.02,560.263,-5.0217,11512.1,3.1081,16273.7,3.1211,0.3187,2.32,50
0.33,-0.006,49.994,559.84,-5.49744,11464,3.1069,16258.5,3.1223,0.3187,2.32,50
0.34,-0.004,49.996,559.417,-5.92032,11432.9,3.1146,16243.2,3.1235,0.3187,2.32,50
0.35,0.02,50.02,559.047,-6.3432,11496.6,3.1117,16243.2,3.1246,0.3187,2.32,50
0.36,0.002,50.002,558.624,-6.76608,11483.3,3.1066,16235.6,3.1256,0.3187,2.32,50
0.37,-0.012,49.988,558.36,-7.29468,11424.8,3.1131,16220.3,3.1268,0.3187,2.32,50
0.38,0.014,50.014,558.149,-7.50612,11470.7,3.1148,16220.3,3.1274,0.3187,2.32,50
0.39,0.014,50.014,557.99,-7.50612,11497.7,3.1078,16212.7,3.1275,0.3187,2.32,50
0.4,-0.01,49.99,557.779,-7.61184,11431.5,3.1111,16205.1,3.128,0.3187,2.32,50
0.41,0.008,50.008,557.673,-7.82328,11443.7,3.1168,16197.5,3.1288,0.3187,2.32,50
0.42,0.022,50.022,557.779,-7.77042,11502.9,3.1109,16205.1,3.1293,0.3187,2.32,50
0.43,-0.002,49.998,557.99,-7.61184,11454.8,3.1099,16212.7,3.1296,0.3187,2.32,50
0.44,-0.002,49.998,558.413,-7.61184,11424.8,3.1177,16228,3.1299,0.3187,2.32,50
0.45,0.024,50.024,558.836,-7.50612,11490.7,3.1151,16243.2,3.1301,0.3187,2.32,50
0.46,0.008,50.008,559.312,-7.4004,11481.8,3.1102,16250.9,3.1306,0.3187,2.32,50
0.47,-0.006,49.994,559.946,-7.24182,11425.5,3.1172,16266.1,3.1308,0.3187,2.32,50
0.48,0.02,50.02,560.58,-6.8718,11474.4,3.1191,16281.4,3.1306,0.3187,2.32,50
0.49,0.018,50.018,561.267,-6.44892,11505.1,3.1124,16296.6,3.1306,0.3187,2.32,50
0.5,-0.004,49.996,561.955,-6.0789,11442.2,3.116,16311.9,3.1305,0.3187,2.32,50
0.51,0.012,50.012,562.695,-5.60316,11457,3.1222,16334.8,3.1303,0.3187,2.32,50
0.52,0.026,50.026,563.435,-5.12742,11516.6,3.1165,16350,3.13,0.3187,2.32,50
0.53,0,50,564.281,-4.65168,11470.3,3.1158,16372.9,3.1296,0.3187,2.32,50
0.54,0,50,565.021,-4.17594,11443.7,3.1238,16395.8,3.1293,0.3187,2.32,50
0.55,0.024,50.024,565.549,-3.75306,11509.9,3.1212,16403.4,3.1292,0.3187,2.32,50
0.56,0.006,50.006,565.972,-3.4359,11498.8,3.1164,16411.1,3.1291,0.3187,2.32,50
0.57,-0.008,49.992,566.553,-2.80158,11441.1,3.1232,16434,3.1284,0.3187,2.32,50
0.58,0.016,50.016,567.029,-2.43156,11488.8,3.125,16449.2,3.1282,0.3187,2.32,50
0.59,0.016,50.016,567.399,-2.22012,11518,3.1181,16456.9,3.1283,0.3187,2.32,50
0.6,-0.008,49.992,567.664,-2.00868,11455.5,3.1216,16464.5,3.1283,0.3187,2.32,50
0.61,0.008,50.008,567.716,-1.8501,11469.2,3.1276,16464.5,3.1286,0.3187,2.32,50
0.62,0.024,50.024,567.716,-1.63866,11527.7,3.1217,16464.5,3.1286,0.3187,2.32,50
0.63,-0.004,49.996,567.505,-1.63866,11481.4,3.1207,16449.2,3.129,0.3187,2.32,50
0.64,-0.004,49.996,567.188,-1.5858,11454,3.1285,16441.6,3.1294,0.3187,2.32,50
0.65,0.02,50.02,566.765,-1.48008,11518.8,3.1256,16426.3,3.1297,0.3187,2.32,50
0.66,0.002,50.002,566.395,-1.48008,11506.9,3.1205,16411.1,3.1299,0.3187,2.32,50
0.67,-0.012,49.988,566.025,-1.5858,11450.3,3.1271,16403.4,3.1302,0.3187,2.32,50
0.68,0.014,50.014,565.443,-1.74438,11497.7,3.1287,16388.2,3.1309,0.3187,2.32,50
0.69,0.012,50.012,564.809,-1.79724,11524.7,3.1216,16372.9,3.1312,0.3187,2.32,50
0.7,-0.014,49.986,564.069,-1.74438,11460,3.1249,16357.7,3.1315,0.3187,2.32,50
0.71,0.004,50.004,563.223,-1.8501,11472.2,3.1304,16334.8,3.1318,0.3187,2.32,50
0.72,0.018,50.018,562.378,-2.00868,11529.5,3.1241,16311.9,3.1323,0.3187,2.32,50
0.73,-0.006,49.994,561.426,-2.22012,11482.2,3.1229,16281.4,3.1328,0.3187,2.32,50
0.74,-0.006,49.994,560.422,-2.48442,11453.3,3.1305,16258.5,3.1334,0.3187,2.32,50
0.75,0.018,50.018,559.523,-2.643,11516.6,3.1275,16228,3.1337,0.3187,2.32,50
0.76,0.002,50.002,558.677,-2.9073,11503.6,3.1222,16205.1,3.1343,0.3187,2.32,50
0.77,-0.014,49.986,557.884,-3.1716,11445.5,3.1288,16182.2,3.1349,0.3187,2.32,50
0.78,0.012,50.012,556.986,-3.48876,11492.9,3.1304,16159.3,3.1357,0.3187,2.32,50
0.79,0.012,50.012,556.087,-3.64734,11521.4,3.1231,16128.8,3.1363,0.3187,2.32,50
0.8,-0.012,49.988,555.189,-3.80592,11457.7,3.1264,16105.9,3.1369,0.3187,2.32,50
0.81,0.006,50.006,554.449,-3.9645,11471,3.132,16083,3.1374,0.3187,2.32,50
0.82,0.02,50.02,553.814,-4.2288,11528.8,3.1258,16060.1,3.1379,0.3187,2.32,50
0.83,-0.004,49.996,553.233,-4.38738,11480.3,3.1248,16044.9,3.1385,0.3187,2.32,50
0.84,-0.004,49.996,552.81,-4.2288,11451.1,3.1325,16029.6,3.1386,0.3187,2.32,50
0.85,0.02,50.02,552.546,-4.12308,11514.7,3.1297,16022,3.139,0.3187,2.32,50
0.86,0.004,50.004,552.387,-4.01736,11503.2,3.1246,16022,3.1393,0.3187,2.32,50
0.87,-0.008,49.992,552.387,-4.07022,11447.4,3.1315,16014.3,3.1396,0.3187,2.32,50
0.88,0.018,50.018,552.334,-4.12308,11495.5,3.1332,16014.3,3.1399,0.3187,2.32,50
0.89,0.018,50.018,552.387,-3.85878,11524,3.1263,16022,3.1398,0.3187,2.32,50
0.9,-0.006,49.994,552.598,-3.54162,11461.4,3.13,16022,3.1398,0.3187,2.32,50
0.91,0.012,50.012,552.968,-3.1716,11476.6,3.136,16029.6,3.14,0.3187,2.32,50
0.92,0.028,50.028,553.444,-2.74872,11536.2,3.1303,16044.9,3.1399,0.3187,2.32,50
0.93,0.002,50.002,554.026,-2.27298,11490.7,3.1298,16052.5,3.1399,0.3187,2.32,50
0.94,0.004,50.004,554.607,-1.69152,11464,3.138,16067.7,3.1396,0.3187,2.32,50
0.95,0.028,50.028,555.347,-1.11006,11528.4,3.1355,16090.6,3.1392,0.3187,2.32,50
0.96,0.01,50.01,556.246,-0.47574,11516.6,3.1309,16113.5,3.1384,0.3187,2.32,50
0.97,-0.004,49.996,557.144,0,11461.4,3.1381,16136.4,3.1383,0.3187,2.32,50
0.98,0.022,50.022,557.884,0.42288,11510.6,3.1401,16151.7,3.1383,0.3187,2.32,50
0.99,0.022,50.022,558.624,0.89862,11538.4,3.1335,16174.6,3.1384,0.3187,2.32,50
1,-0.002,49.998,559.47,1.48008,11475.9,3.1375,16197.5,3.1381,0.3187,2.32,50
1.01,0.014,50.014,560.21,1.74438,11492.1,-3.1395,16220.3,3.1382,0.3187,2.32,50
1.02,0.028,50.028,560.58,1.74438,11549.5,3.1379,16220.3,3.1392,0.3187,2.32,50
1.03,0.002,50.002,560.897,1.90296,11501,3.1375,16228,3.1397,0.3187,2.32,50
1.04,0.002,50.002,561.162,2.06154,11474.4,-3.1375,16243.2,3.14,0.3187,2.32,50
1.05,0.024,50.024,561.32,2.06154,11537.7,-3.1402,16243.2,3.1407,0.3187,2.32,50
1.06,0.008,50.008,561.267,2.06154,11522.1,3.138,16243.2,3.1413,0.3187,2.32,50
1.07,-0.008,49.992,561.109,1.8501,11463.6,-3.1379,16243.2,-3.1409,0.3187,2.32,50
1.08,0.016,50.016,560.95,1.53294,11511.8,-3.1362,16235.6,-3.1398,0.3187,2.32,50
1.09,0.016,50.016,560.58,1.11006,11536.9,3.1399,16228,-3.1385,0.3187,2.32,50
1.1,-0.01,49.99,560.157,0.58146,11469.9,-3.1396,16220.3,-3.1372,0.3187,2.32,50
1.11,0.006,50.006,559.629,-0.05286,11481.4,-3.1338,16212.7,-3.1358,0.3187,2.32,50
1.12,0.022,50.022,558.783,-0.74004,11535.4,-3.14,16189.8,-3.1338,0.3187,2.32,50
1.13,-0.004,49.996,557.884,-1.3215,11484.7,-3.1409,16166.9,-3.1325,0.3187,2.32,50
1.14,-0.004,49.996,557.144,-1.95582,11456.3,-3.1331,16151.7,-3.1309,0.3187,2.32,50
1.15,0.022,50.022,556.457,-2.59014,11517.3,-3.136,16136.4,-3.1294,0.3187,2.32,50
1.16,0.006,50.006,555.876,-3.1716,11500.7,-3.141,16121.2,-3.1281,0.3187,2.32,50
1.17,-0.01,49.99,555.347,-3.85878,11441.8,-3.134,16113.5,-3.1264,0.3187,2.32,50
1.18,0.016,50.016,554.977,-4.44024,11487.3,-3.1324,16105.9,-3.1249,0.3187,2.32,50
1.19,0.016,50.016,554.819,-5.07456,11513.2,-3.1395,16098.3,-3.1233,0.3187,2.32,50
1.2,-0.008,49.992,554.607,-5.5503,11449.6,-3.1358,16098.3,-3.1219,0.3187,2.32,50
1.21,0.01,50.01,554.396,-5.86746,11462.2,-3.1299,16098.3,-3.1208,0.3187,2.32,50
1.22,0.026,50.026,554.449,-6.13176,11516.9,-3.1359,16098.3,-3.12,0.3187,2.32,50
1.23,0,50,554.66,-6.13176,11469.6,-3.1365,16105.9,-3.1191,0.3187,2.32,50
1.24,0.002,50.002,555.083,-5.97318,11442.2,-3.1284,16121.2,-3.1187,0.3187,2.32,50
1.25,0.028,50.028,555.664,-5.92032,11504,-3.131,16136.4,-3.1182,0.3187,2.32,50
1.26,0.012,50.012,556.352,-5.97318,11490.7,-3.1356,16151.7,-3.1172,0.3187,2.32,50
1.27,-0.002,49.998,557.092,-5.76174,11437,-3.1282,16166.9,-3.1166,0.3187,2.32,50
1.28,0.024,50.024,557.832,-5.33886,11486.2,-3.1261,16189.8,-3.1163,0.3187,2.32,50
1.29,0.022,50.022,558.677,-5.07456,11514.3,-3.1327,16212.7,-3.116,0.3187,2.32,50
1.3,-0.002,49.998,559.576,-4.81026,11452.2,-3.1286,16235.6,-3.1156,0.3187,2.32,50
1.31,0.016,50.016,560.58,-4.44024,11467.3,-3.1223,16266.1,-3.1155,0.3187,2.32,50
1.32,0.03,50.03,561.585,-4.07022,11523.2,-3.128,16289,-3.1152,0.3187,2.32,50
1.33,0.004,50.004,562.536,-3.75306,11474,-3.1283,16319.5,-3.1149,0.3187,2.32,50
1.34,0.004,50.004,563.593,-3.22446,11447,-3.12,16357.7,-3.1153,0.3187,2.32,50
1.35,0.028,50.028,564.492,-3.06588,11510.3,-3.1226,16388.2,-3.1151,0.3187,2.32,50
1.36,0.012,50.012,565.179,-3.1716,11497.3,-3.1272,16403.4,-3.1141,0.3187,2.32,50
1.37,-0.004,49.996,565.866,-3.06588,11442.9,-3.1198,16418.7,-3.1135,0.3187,2.32,50
1.38,0.02,50.02,566.501,-2.85444,11491.8,-3.1179,16441.6,-3.1133,0.3187,2.32,50
1.39,0.02,50.02,567.082,-2.69586,11517.7,-3.1247,16464.5,-3.113,0.3187,2.32,50
1.4,-0.004,49.996,567.558,-2.69586,11454.8,-3.1206,16472.1,-3.1124,0.3187,2.32,50
1.41,0.012,50.012,567.981,-2.643,11469.6,-3.1145,16487.4,-3.112,0.3187,2.32,50
1.42,0.026,50.026,568.404,-2.59014,11524,-3.1205,16495,-3.1115,0.3187,2.32,50
1.43,0,50,568.509,-2.43156,11475.1,-3.121,16495,-3.1108,0.3187,2.32,50
1.44,0,50,568.456,-2.3787,11449.2,-3.113,16495,-3.1102,0.3187,2.32,50
1.45,0.024,50.024,568.456,-2.3787,11511.8,-3.1158,16495,-3.1097,0.3187,2.32,50
1.46,0.008,50.008,568.509,-2.32584,11495.5,-3.1206,16495,-3.1095,0.3187,2.32,50
1.47,-0.008,49.992,568.668,-2.22012,11441.4,-3.1135,16502.6,-3.1092,0.3187,2.32,50
1.48,0.018,50.018,568.774,-2.27298,11491.8,-3.1118,16502.6,-3.1087,0.3187,2.32,50
1.49,0.018,50.018,568.932,-2.22012,11517.7,-3.1187,16502.6,-3.1081,0.3187,2.32,50
1.5,-0.008,49.992,569.091,-1.8501,11454.8,-3.1148,16510.3,-3.1083,0.3187,2.32,50
1.51,0.008,50.008,569.038,-1.48008,11469.6,-3.1089,16510.3,-3.1083,0.3187,2.32,50
1.52,0.024,50.024,568.985,-1.26864,11524.3,-3.1151,16510.3,-3.108,0.3187,2.32,50
1.53,-0.002,49.998,568.932,-0.95148,11475.5,-3.1158,16510.3,-3.1083,0.3187,2.32,50
1.54,-0.002,49.998,568.932,-0.89862,11452.2,-3.1079,16510.3,-3.1082,0.3187,2.32,50
1.55,0.022,50.022,568.879,-0.74004,11515.8,-3.1109,16502.6,-3.1081,0.3187,2.32,50
1.56,0.008,50.008,568.826,-0.42288,11502.5,-3.1158,16502.6,-3.108,0.3187,2.32,50
1.57,-0.008,49.992,568.774,-0.31716,11451.4,-3.1086,16487.4,-3.1074,0.3187,2.32,50
1.58,0.016,50.016,568.562,-0.21144,11501,-3.1069,16479.7,-3.1071,0.3187,2.32,50
1.59,0.014,50.014,568.351,0.05286,11526.9,-3.1141,16472.1,-3.1073,0.3187,2.32,50
1.6,-0.01,49.99,567.981,0.2643,11465.5,-3.1104,16464.5,-3.1074,0.3187,2.32,50
1.61,0.006,50.006,567.505,0.42288,11482.5,-3.1047,16449.2,-3.1074,0.3187,2.32,50
1.62,0.02,50.02,566.976,0.58146,11536.9,-3.1111,16434,-3.1073,0.3187,2.32,50
1.63,-0.006,49.994,566.395,0.74004,11487.7,-3.112,16426.3,-3.1074,0.3187,2.32,50
1.64,-0.006,49.994,565.813,0.95148,11462.9,-3.1043,16411.1,-3.1075,0.3187,2.32,50
1.65,0.018,50.018,565.232,1.0572,11525.1,-3.1075,16395.8,-3.1072,0.3187,2.32,50
1.66,0.002,50.002,564.651,1.00434,11509.9,-3.1127,16372.9,-3.1069,0.3187,2.32,50
1.67,-0.014,49.986,563.963,0.84576,11457,-3.1058,16350,-3.1066,0.3187,2.32,50
1.68,0.012,50.012,563.17,0.84576,11505.5,-3.1046,16327.2,-3.1065,0.3187,2.32,50
1.69,0.012,50.012,562.272,0.74004,11531,-3.1119,16296.6,-3.1061,0.3187,2.32,50
1.7,-0.012,49.988,561.32,0.58146,11469.2,-3.1083,16266.1,-3.1057,0.3187,2.32,50
1.71,0.004,50.004,560.475,0.5286,11484.7,-3.1028,16235.6,-3.1054,0.3187,2.32,50
1.72,0.018,50.018,559.682,0.47574,11539.5,-3.1093,16212.7,-3.105,0.3187,2.32,50
1.73,-0.006,49.994,558.783,0.47574,11490.3,-3.1102,16189.8,-3.1047,0.3187,2.32,50
1.74,-0.006,49.994,557.99,0.37002,11465.9,-3.1026,16166.9,-3.1044,0.3187,2.32,50
1.75,0.018,50.018,557.303,0.21144,11527.7,-3.1059,16151.7,-3.1041,0.3187,2.32,50
1.76,0,50,556.563,0,11512.5,-3.1111,16128.8,-3.1036,0.3187,2.32,50
1.77,-0.014,49.986,555.876,-0.10572,11459.2,-3.1044,16105.9,-3.1033,0.3187,2.32,50
1.78,0.01,50.01,555.083,-0.21144,11506.6,-3.1031,16090.6,-3.1031,0.3187,2.32,50
1.79,0.01,50.01,554.396,-0.42288,11531.7,-3.1106,16067.7,-3.1026,0.3187,2.32,50
1.8,-0.012,49.988,553.708,-0.74004,11469.6,-3.1071,16052.5,-3.1017,0.3187,2.32,50
1.81,0.004,50.004,553.127,-1.0572,11484.4,-3.1015,16037.2,-3.101,0.3187,2.32,50
1.82,0.018,50.018,552.546,-1.3215,11536.2,-3.108,16022,-3.1004,0.3187,2.32,50
1.83,-0.006,49.994,551.806,-1.74438,11486.2,-3.1089,15999.1,-3.0996,0.3187,2.32,50
1.84,-0.006,49.994,551.118,-2.1144,11462.2,-3.1012,15976.2,-3.0986,0.3187,2.32,50
1.85,0.018,50.018,550.431,-2.59014,11524,-3.1045,15953.3,-3.0974,0.3187,2.32,50
1.86,0.002,50.002,549.85,-3.11874,11507.3,-3.1097,15930.4,-3.0964,0.3187,2.32,50
1.87,-0.014,49.986,549.215,-3.59448,11452.2,-3.1029,15922.8,-3.0955,0.3187,2.32,50
1.88,0.012,50.012,548.687,-4.12308,11498.4,-3.1016,15907.5,-3.0943,0.3187,2.32,50
1.89,0.012,50.012,548.264,-4.7574,11520.3,-3.1089,15899.9,-3.0931,0.3187,2.32,50
1.9,-0.012,49.988,547.894,-5.18028,11454.8,-3.1053,15899.9,-3.0921,0.3187,2.32,50
1.91,0.004,50.004,547.524,-5.8146,11468.5,-3.0997,15892.3,-3.0908,0.3187,2.32,50
1.92,0.02,50.02,547.048,-6.50178,11519.9,-3.1063,15884.6,-3.0894,0.3187,2.32,50
1.93,-0.004,49.996,546.678,-6.92466,11468.8,-3.1072,15877,-3.0884,0.3187,2.32,50
1.94,-0.002,49.998,546.414,-7.45326,11442.2,-3.0994,15869.4,-3.0871,0.3187,2.32,50
1.95,0.022,50.022,546.255,-8.08758,11501.4,-3.1024,15869.4,-3.0856,0.3187,2.32,50
1.96,0.006,50.006,546.308,-8.40474,11483.3,-3.1072,15877,-3.0846,0.3187,2.32,50
1.97,-0.008,49.992,546.678,-8.7219,11428.5,-3.1001,15892.3,-3.0836,0.3187,2.32,50
1.98,0.018,50.018,547.101,-9.14478,11475.1,-3.0985,15899.9,-3.0823,0.3187,2.32,50
1.99,0.018,50.018,547.682,-9.35622,11496.6,-3.1054,15922.8,-3.0814,0.3187,2.32,50
2,-0.006,49.994,548.422,-9.56766,11434.4,-3.1013,15945.7,-3.0805,0.3187,2.32,50
2.01,0.012,50.012,549.321,-9.56766,11450.3,-3.0953,15976.2,-3.08,0.3187,2.32,50
2.02,0.028,50.028,550.378,-9.35622,11502.1,-3.1014,16006.7,-3.0796,0.3187,2.32,50
2.03,0.004,50.004,551.541,-9.19764,11453.3,-3.1017,16037.2,-3.0792,0.3187,2.32,50
2.04,0.006,50.006,553.074,-9.03906,11430.7,-3.0932,16083,-3.0787,0.3187,2.32,50
2.05,0.03,50.03,554.871,-8.82762,11492.5,-3.0957,16128.8,-3.0783,0.3187,2.32,50
2.06,0.014,50.014,556.669,-8.4576,11476.2,-3.1002,16182.2,-3.0781,0.3187,2.32,50
2.07,0,50,558.413,-7.82328,11423.7,-3.0925,16235.6,-3.0782,0.3187,2.32,50
2.08,0.026,50.026,560.263,-7.24182,11472.9,-3.0904,16289,-3.0784,0.3187,2.32,50
2.09,0.026,50.026,562.166,-6.81894,11497.7,-3.0969,16334.8,-3.0782,0.3187,2.32,50
2.1,0.002,50.002,564.016,-6.23748,11438.1,-3.0924,16380.6,-3.0781,0.3187,2.32,50
2.11,0.018,50.018,565.813,-5.65602,11455.9,-3.086,16434,-3.0781,0.3187,2.32,50
2.12,0.032,50.032,567.664,-4.86312,11508.8,-3.0918,16495,-3.0785,0.3187,2.32,50
2.13,0.006,50.006,569.619,-4.01736,11460.7,-3.0918,16556,-3.0789,0.3187,2.32,50
2.14,0.006,50.006,571.417,-3.48876,11439.6,-3.0833,16601.8,-3.0789,0.3187,2.32,50
2.15,0.03,50.03,573.002,-3.01302,11502.1,-3.0859,16647.6,-3.0788,0.3187,2.32,50
2.16,0.012,50.012,574.377,-2.643,11487,-3.0903,16678.1,-3.0786,0.3187,2.32,50
2.17,-0.004,49.996,575.593,-2.16726,11436.6,-3.0828,16716.3,-3.0786,0.3187,2.32,50
2.18,0.02,50.02,576.65,-1.63866,11485.9,-3.081,16746.8,-3.0788,0.3187,2.32,50
2.19,0.02,50.02,577.495,-1.48008,11509.2,-3.0878,16769.7,-3.0784,0.3187,2.32,50
2.2,-0.006,49.994,578.183,-1.48008,11447.7,-3.0836,16777.3,-3.0775,0.3187,2.32,50
2.21,0.01,50.01,578.87,-1.11006,11464.8,-3.0777,16807.8,-3.0776,0.3187,2.32,50
2.22,0.024,50.024,579.398,-0.89862,11517.7,-3.084,16823.1,-3.0776,0.3187,2.32,50
2.23,-0.004,49.996,579.61,-0.89862,11469.6,-3.0846,16823.1,-3.077,0.3187,2.32,50
2.24,-0.004,49.996,579.504,-1.00434,11447.7,-3.0766,16823.1,-3.0766,0.3187,2.32,50
2.25,0.018,50.018,579.134,-0.95148,11509.5,-3.0801,16815.4,-3.0763,0.3187,2.32,50
2.26,0.002,50.002,578.553,-1.00434,11491,-3.0852,16800.2,-3.0761,0.3187,2.32,50
2.27,-0.014,49.986,577.971,-1.0572,11437.4,-3.0783,16784.9,-3.0759,0.3187,2.32,50
2.28,0.01,50.01,577.337,-1.21578,11485.1,-3.0772,16769.7,-3.0756,0.3187,2.32,50
2.29,0.01,50.01,576.544,-1.63866,11506.6,-3.0846,16746.8,-3.0748,0.3187,2.32,50
2.3,-0.016,49.984,575.593,-2.1144,11446.3,-3.081,16708.6,-3.0738,0.3187,2.32,50
2.31,-0.002,49.998,574.377,-2.3787,11463.3,-3.0757,16670.5,-3.0734,0.3187,2.32,50
2.32,0.012,50.012,573.108,-2.48442,11513.2,-3.0827,16647.6,-3.0736,0.3187,2.32,50
2.33,-0.012,49.988,571.787,-2.80158,11464.4,-3.084,16609.4,-3.0732,0.3187,2.32,50
2.34,-0.012,49.988,570.465,-3.06588,11441.8,-3.0766,16563.7,-3.073,0.3187,2.32,50
2.35,0.012,50.012,569.038,-3.1716,11501.8,-3.0803,16517.9,-3.0727,0.3187,2.32,50
2.36,-0.004,49.996,567.558,-3.7002,11485.1,-3.0859,16472.1,-3.0718,0.3187,2.32,50
2.37,-0.02,49.98,566.395,-4.07022,11432.9,-3.0793,16441.6,-3.0716,0.3187,2.32,50
2.38,0.006,50.006,565.021,-4.44024,11481,-3.0786,16403.4,-3.0713,0.3187,2.32,50
2.39,0.004,50.004,563.646,-4.81026,11504,-3.0864,16365.3,-3.071,0.3187,2.32,50
2.4,-0.02,49.98,562.219,-5.0217,11443.3,-3.0831,16319.5,-3.0708,0.3187,2.32,50
2.41,-0.002,49.998,560.792,-5.12742,11461.1,-3.078,16281.4,-3.0708,0.3187,2.32,50
2.42,0.012,50.012,559.47,-5.33886,11513.2,-3.0852,16243.2,-3.0707,0.3187,2.32,50
2.43,-0.012,49.988,558.043,-5.76174,11464.8,-3.0863,16197.5,-3.0699,0.3187,2.32,50
2.44,-0.012,49.988,556.827,-5.97318,11442.9,-3.0789,16166.9,-3.0698,0.3187,2.32,50
2.45,0.012,50.012,555.876,-5.92032,11504,-3.0826,16144,-3.0702,0.3187,2.32,50
2.46,-0.002,49.998,555.03,-5.97318,11487,-3.0881,16121.2,-3.0703,0.3187,2.32,50
2.47,-0.016,49.984,554.078,-6.02604,11435.9,-3.0814,16098.3,-3.0701,0.3187,2.32,50
2.48,0.008,50.008,553.233,-5.86746,11485.1,-3.0804,16067.7,-3.0704,0.3187,2.32,50
2.49,0.01,50.01,552.493,-5.86746,11509.2,-3.088,16044.9,-3.0705,0.3187,2.32,50
2.5,-0.014,49.986,551.858,-5.86746,11450,-3.0844,16022,-3.0705,0.3187,2.32,50
2.51,0.002,50.002,551.33,-5.8146,11468.5,-3.079,15999.1,-3.0706,0.3187,2.32,50
2.52,0.018,50.018,551.013,-5.60316,11520.6,-3.0857,15991.5,-3.071,0.3187,2.32,50
2.53,-0.006,49.994,550.695,-5.18028,11472.2,-3.0866,15983.8,-3.0716,0.3187,2.32,50
2.54,-0.006,49.994,550.431,-4.96884,11451.1,-3.0788,15983.8,-3.0717,0.3187,2.32,50
2.55,0.018,50.018,550.273,-4.86312,11512.9,-3.0822,15976.2,-3.0717,0.3187,2.32,50
2.56,0.004,50.004,550.061,-4.81026,11496.6,-3.0874,15968.6,-3.0715,0.3187,2.32,50
2.57,-0.012,49.988,549.85,-4.7574,11446.3,-3.0803,15953.3,-3.071,0.3187,2.32,50
2.58,0.014,50.014,549.585,-4.65168,11494.7,-3.079,15938,-3.0707,0.3187,2.32,50
2.59,0.014,50.014,549.533,-4.59882,11516.6,-3.0862,15945.7,-3.0708,0.3187,2.32,50
2.6,-0.01,49.99,549.638,-4.44024,11456.3,-3.0824,15945.7,-3.0708,0.3187,2.32,50
